Code ;HABITAT;Site type;Name
219;SA1;Set aside 1;POINT (-1.4112722 51.4207287)
222;SA1;Set aside 1;POINT (-1.4112722 51.4207287)
225;SA1;Set aside 1;POINT (-1.4112722 51.4207287)
228;SA2;Set aside 2;POINT (-1.3876151 51.4123648)
231;SA2;Set aside 2;POINT (-1.3876151 51.4123648)
234;SA2;Set aside 2;POINT (-1.3876151 51.4123648)
237;BW1;Broadleaved woodland 1;POINT (-1.392089 51.4137633)
240;BW1;Broadleaved woodland 2;POINT (-1.392089 51.4137633)
243;BW1;Broadleaved woodland 3;POINT (-1.392089 51.4137633)
246;CF1;Conifer woodland 1;POINT (-1.3846929 51.4146777)
249;CF1;Conifer woodland 1;POINT (-1.3846929 51.4146777)
252;CF1;Conifer woodland 1;POINT (-1.3846929 51.4146777)
255;WW1;Winter wheat 1;POINT (-1.3908137 51.4081984)
258;WW1;Winter wheat 1;POINT (-1.3908137 51.4081984)
261;WW1;Winter wheat 1;POINT (-1.3908137 51.4081984)
264;BW2;Broadleaved woodland 2;POINT (-1.4161106 51.4221874)
267;BW2;Broadleaved woodland 2;POINT (-1.4161106 51.4221874)
270;BW2;Broadleaved woodland 2;POINT (-1.4161106 51.4221874)
273;P1;Pasture 1;POINT (-1.4131355 51.4213369)
276;P1;Pasture 1;POINT (-1.4131355 51.4213369)
279;P1;Pasture 1;POINT (-1.4131355 51.4213369)
282;SA3;Set aside 3;POINT (-1.444276 51.4268579)
285;SA3;Set aside 3;POINT (-1.444276 51.4268579)
288;SA3;Set aside 3;POINT (-1.444276 51.4268579)
291;BW3;Broadleaved woodland 3;POINT (-1.4443787 51.4341139)
294;BW3;Broadleaved woodland 3;POINT (-1.4443787 51.4341139)
297;BW3;Broadleaved woodland 3;POINT (-1.4443787 51.4341139)
300;WW2;Winter wheat 2;POINT (-1.4488748 51.4285903)
303;WW2;Winter wheat 2;POINT (-1.4488748 51.4285903)
306;WW2;Winter wheat 2;POINT (-1.4488748 51.4285903)
309;CF2;Conifer woodland 2;POINT (-1.3892451 51.4211027)
312;CF2;Conifer woodland 2;POINT (-1.3892451 51.4211027)
315;CF2;Conifer woodland 2;POINT (-1.3892451 51.4211027)
318;P2;Pasture 2;POINT (-1.3957119 51.4252439)
321;P2;Pasture 2;POINT (-1.3957119 51.4252439)
324;P2;Pasture 2;POINT (-1.3957119 51.4252439)
327;WW3;Winter wheat 3;POINT (-1.3991361 51.4354664)
330;WW3;Winter wheat 3;POINT (-1.3991361 51.4354664)
333;WW3;Winter wheat 3;POINT (-1.3991361 51.4354664)
336;CF3;Conifer woodland 3;POINT (-1.4037285 51.4250271)
339;CF3;Conifer woodland 3;POINT (-1.4037285 51.4250271)
342;CF3;Conifer woodland 3;POINT (-1.4037285 51.4250271)
345;P3;Pasture 3;POINT (-1.4101744 51.4296497)
348;P3;Pasture 3;POINT (-1.4101744 51.4296497)
351;P3;Pasture 3;POINT (-1.4101744 51.4296497)
37;HED1;Hedgerow 1;POINT (-1.414868 51.4164148)
49;HED1;Hedgerow 1;POINT (-1.414868 51.4164148)
61;HED1;Hedgerow 1;POINT (-1.414868 51.4164148)
109;HED2;Hedgerow 2;POINT (-1.4120839 51.4163044)
121;HED2;Hedgerow 2;POINT (-1.4120839 51.4163044)
133;HED2;Hedgerow 2;POINT (-1.4120839 51.4163044)
181;HED3;Hedgerow 3;POINT (-1.4061348 51.4213191)
193;HED3;Hedgerow 3;POINT (-1.4061348 51.4213191)
205;HED3;Hedgerow 3;POINT (-1.4061348 51.4213191)
4;MARG1;Grass margin 1;POINT (-1.4183809 51.4162539)
16;MARG1;Grass margin 1;POINT (-1.4183809 51.4162539)
28;MARG1;Grass margin 1;POINT (-1.4183809 51.4162539)
76;MARG2;Grass margin 2;POINT (-1.4083816 51.4159461)
88;MARG2;Grass margin 2;POINT (-1.4083816 51.4159461)
100;MARG2;Grass margin 2;POINT (-1.4083816 51.4159461)
148;MARG3;Grass margin 3;POINT (-1.4059998 51.4207501)
160;MARG3;Grass margin 3;POINT (-1.4059998 51.4207501)
172;MARG3;Grass margin 3;POINT (-1.4059998 51.4207501)
46;BEAN1;Bean field 1;POINT (-1.4164615 51.4168579)
58;BEAN1;Bean field 1;POINT (-1.4164615 51.4168579)
70;BEAN1;Bean field 1;POINT (-1.4164615 51.4168579)
118;BEAN2;Bean field 2;POINT (-1.4134789 51.4158944)
130;BEAN2;Bean field 2;POINT (-1.4134789 51.4158944)
142;BEAN2;Bean field 2;POINT (-1.4134789 51.4158944)
190;BEAN3;Bean field 3;POINT (-1.4063493 51.4228445)
202;BEAN3;Bean field 3;POINT (-1.4063493 51.4228445)
214;BEAN3;Bean field 3;POINT (-1.4063493 51.4228445)
