Site_name_number;Latitude_author;Longitude_author
1;-1.4183809;51.4162539
4;-1.4183809;51.4162539
7;-1.4183809;51.4162539
10;-1.4183809;51.4162539
13;-1.4183809;51.4162539
16;-1.4183809;51.4162539
19;-1.4183809;51.4162539
22;-1.4183809;51.4162539
25;-1.4183809;51.4162539
28;-1.4183809;51.4162539
31;-1.4183809;51.4162539
34;-1.4183809;51.4162539
37;-1.414868;51.4164148
40;-1.414868;51.4164148
43;-1.414868;51.4164148
46;-1.414868;51.4164148
49;-1.414868;51.4164148
52;-1.414868;51.4164148
55;-1.414868;51.4164148
58;-1.414868;51.4164148
61;-1.414868;51.4164148
64;-1.414868;51.4164148
67;-1.414868;51.4164148
70;-1.414868;51.4164148
73;-1.4083816;51.4159461
76;-1.4083816;51.4159461
79;-1.4083816;51.4159461
82;-1.4083816;51.4159461
85;-1.4083816;51.4159461
88;-1.4083816;51.4159461
91;-1.4083816;51.4159461
94;-1.4083816;51.4159461
97;-1.4083816;51.4159461
100;-1.4083816;51.4159461
103;-1.4083816;51.4159461
106;-1.4083816;51.4159461
109;-1.4120839;51.4163044
112;-1.4120839;51.4163044
115;-1.4120839;51.4163044
118;-1.4120839;51.4163044
121;-1.4120839;51.4163044
124;-1.4120839;51.4163044
127;-1.4120839;51.4163044
130;-1.4120839;51.4163044
133;-1.4120839;51.4163044
136;-1.4120839;51.4163044
139;-1.4120839;51.4163044
142;-1.4120839;51.4163044
145;-1.4059509;51.4211518
148;-1.4059509;51.4211518
151;-1.4059509;51.4211518
154;-1.4059509;51.4211518
157;-1.4059998;51.4207501
160;-1.4059998;51.4207501
163;-1.4059998;51.4207501
166;-1.4059998;51.4207501
169;-1.4059998;51.4207501
172;-1.4059998;51.4207501
175;-1.4059998;51.4207501
178;-1.4059998;51.4207501
181;-1.4061348;51.4213191
184;-1.4061348;51.4213191
187;-1.4061348;51.4213191
190;-1.4061348;51.4213191
193;-1.4061348;51.4213191
196;-1.4061348;51.4213191
199;-1.4061348;51.4213191
202;-1.4061348;51.4213191
205;-1.4061348;51.4213191
208;-1.4061348;51.4213191
211;-1.4061348;51.4213191
214;-1.4061348;51.4213191
